MAGPIID,z,v_asym_g,v_asym_g_err,v_asym_s,v_asym_s_err,PA_g,PA_s,D_PA,V_rot_g,V_rot_s,Sigma_g,Sigma_s,SNR_g,SNR_s,re_over_psf
1201302222,0.2992,0.03645832701995544,0.006531689935564203,,,203.0136143491545,0.0,203.0136143491545,51.194919991723715,29.556762948674624,38.41555345309198,84.17694883588737,45.151673718061346,3.993477180919399,1.1614285714285715
1202077074,0.3983,0.042642129713502494,0.011386686246028557,,,233.70139712328555,0.0,233.70139712328555,74.92304817692622,23.459500643326912,58.89454738420646,119.73294789091808,28.50096960330825,4.269974614373012,1.4028571428571428
1202197197,0.2913,0.06286920406302957,0.001550284200505713,0.04585690819822103,0.016089927687657334,141.6130754571832,140.5141302975927,1.0989451595904995,193.98178664615426,168.76611780332385,88.10008689420127,106.46712708455736,45.8644303974644,14.595275262651015,3.177142857142858
1203040085,0.3124,,,0.057823906664274026,0.014723105126645234,,282.8061665488321,,,229.93567925786073,,252.23339657216957,,15.084091917281784,1.5600000000000003
1203060081,0.2791,,,0.04069983749969335,0.01471471648017754,,0.0,,,194.60300240964185,,191.24392583018007,,15.148943463429442,1.202857142857143
1203070184,0.3084,,,0.03864108123278401,0.011056678284617285,,1.3884431955849559,,,76.0542018339952,,227.91689592477036,,23.004014632903075,1.925714285714286
1203076068,0.3062,0.061803266360104095,0.0027843349570295323,,,334.2886778340587,18.0,316.2886778340587,136.17309984073972,62.56440247293155,85.60331408818645,93.15295378679609,78.82291511016975,8.257786108845432,1.5271428571428574
1203087201,0.3088,,,0.07685358620722658,0.02211041869806394,,128.18985407683024,,,37.98581314786886,,101.64997235232474,,12.152909092385324,1.4514285714285717
1203103298,0.3076,,,0.14623195261253577,0.0340204511129961,,341.37294587357457,,,63.902774330863465,,83.79778070008139,,8.423278514704622,1.1500000000000004
1203191233,0.3537,0.05019034069315082,0.0119670558165662,,,267.5678416469488,0.0,267.5678416469488,67.05062429122526,21.657624512521547,39.73293817300692,7.8746745173609485,14.71387250844207,2.7388652874523944,2.502857142857143
1203195161,0.2788,0.011913494174597139,0.001829812799933964,0.06638698999843234,0.02290583297842938,38.295190951163846,218.91872974707877,180.62353879591493,141.11112861061397,100.81068506487651,42.63943315092343,48.757647520435164,50.66866704150641,9.192428575109789,2.4142857142857146
1203196196,0.3094,,,0.028810525175557267,0.009136526989869847,,287.80045794608765,,,39.4947917483097,,308.29997689616994,,24.63954103146692,2.7300000000000004
1203230310,0.3111,,,0.030541769181538045,0.009008544412043264,,316.17178664717267,,,120.01206940277072,,162.70628103677143,,23.75900114811972,1.357142857142857
1203235348,0.3605,0.025444764779538494,0.006114190052027564,,,181.85015166267974,0.0,181.85015166267974,179.20110199749598,29.04423370856594,55.44397133956833,78.8852021606242,23.83407450311653,3.9413847936353577,1.3357142857142859
1203247089,0.3059,0.03372960503220182,0.005445170608673921,,,320.518451396567,0.0,320.518451396567,49.30176065548067,2.5902035684338716e-15,41.040405572483444,83.9513284021639,51.07496861802618,3.7540593167209,1.2571428571428571
1203305151,0.3145,,,0.036272843866761634,0.010864035817951272,,72.68034876096544,,,112.32109468742944,,240.95365851348708,,22.343124828569973,1.2328571428571429
1204198199,0.3156,0.02625729620505535,0.003295506312110267,0.03616410630721785,0.00698123197799248,337.55846446583433,161.56979830750177,175.98866615833256,245.79390949851748,216.92211687068834,93.17988443416985,117.65815955080367,13.368298934543583,12.179526116771157,2.842857142857143
1204213219,0.2537,0.013573441257908573,0.0018803837319884065,0.04009075195636218,0.009837253033233875,178.24857431675304,179.88461091911617,1.6360366023631343,91.93128922285406,63.2192744637461,79.99603845610056,76.52882172882683,63.798213426047745,24.50363450812853,1.2142857142857144
1205093221,0.291,,,0.03979789084120997,0.010774731835467411,,230.22216057159835,,,32.34969161367565,,197.74362998414924,,27.250075473020352,1.7242857142857146
1205196165,0.2917,0.009337523078869975,0.002817636771859723,0.05628154835270582,0.017370464978979663,343.48785504819347,163.7306376740824,179.75721737411106,175.6803316148612,120.8598091966831,63.97186216493708,73.09386231655361,33.937655863379156,12.151552171666266,1.2971428571428574
1205197197,0.2912,0.009431431890445251,0.0009558146231398027,0.021314081514296843,0.005484556508747433,213.14168960406943,32.775180032534,180.36650957153543,263.35874019164396,250.28581523755633,63.696919580267576,84.27781339979192,39.39274033063993,15.262439183425426,2.4642857142857144
1206110186,0.2671,,,0.028727779622299828,0.00816625127725165,,108.0,,,27.190294588667406,,259.1417676597167,,29.928232959460633,2.3471428571428574
1206117335,0.3273,,,0.041746200706436316,0.010381188415862186,,110.18281498698543,,,161.0278108460186,,138.0947373641371,,19.118341903816624,1.11
1206151090,0.3249,0.028425138777804886,0.002379467952790124,0.12789019095635656,0.043237031361742194,141.21380186167346,340.2388139568104,199.02501209513696,59.40804585649245,49.335277337828835,51.699999278228184,53.973794604134135,128.80034389997377,12.228579936490435,1.2228571428571429
1206159217,0.3276,,,0.06582673744876294,0.0217853679245019,,126.75050930691194,,,75.27717291725236,,93.73061865296059,,13.623897356909211,1.1942857142857144
1206196198,0.3263,,,0.03667113920373353,0.008898966188624622,,252.4067801899555,,,238.5699073187094,,250.37674729518213,,25.97531140130248,2.4471428571428575
1206205075,0.3261,,,0.027155893209610572,0.007769566281333995,,276.4652105983668,,,91.84872987656792,,174.9715810291059,,21.261706528170382,1.22
1206243216,0.3244,0.08565069094756421,0.03822156496074817,,,18.538003840736344,0.0,18.538003840736344,96.59202105996724,42.06889518995166,37.744362358460904,24.306557339478616,30.326040878763457,4.900819704747323,1.2142857142857144
1206276211,0.2682,,,0.03378044712651133,0.009621860629455584,,126.50302555646945,,,78.26129055532328,,205.1972598807651,,26.42628829871672,1.7300000000000002
1206322202,0.3258,0.04345992379136278,0.005079619996698616,,,350.4345545437791,18.0,332.4345545437791,65.1131488393052,7.1752335312837054,48.567925510738945,33.423135810192086,54.02950383490219,6.291452799926702,1.2857142857142858
1206331296,0.2698,,,0.042180417841237015,0.01009186461252239,,268.58136475965057,,,106.95872808085329,,148.57595647512895,,19.591857712462243,1.2671428571428571
1207128248,0.3209,0.10247771850705169,0.0019550220583487822,0.04071293107865322,0.01379231191003806,90.16676580014959,169.36933178828633,79.20256598813674,182.28947519688828,121.43381199517988,176.7984297778375,134.0494056636717,54.88784968056814,13.675521000991164,2.1042857142857145
1207181305,0.3208,0.05063192780609838,0.008113687663377086,,,204.28053931719307,108.0,96.28053931719307,98.0003124482484,57.56437185147192,62.575379213522524,88.74355055154585,44.400257120349984,9.610973902852656,1.4957142857142858
1207197197,0.3205,0.05524408941750671,0.006089118363919827,,,145.73567694215407,126.0,19.735676942154072,67.74142719682263,49.75817344965492,157.54149270566953,119.77413386778076,38.99632213960896,18.46938299669124,2.508571428571429
1207252190,0.2338,0.10203235523124424,0.02567377391168158,,,35.03277670404646,0.0,35.03277670404646,72.36856435951934,17.373020971890693,40.72130895054908,43.490989719927875,14.344267071755299,2.9065481492927594,1.9900000000000002
1208197197,0.3,,,0.02492005262646992,0.006427967891238089,,219.2345295302278,,,130.558429457156,,206.213603165982,,38.47563504854265,1.7942857142857143
1209131247,0.2954,0.025294589531698334,0.00318265413158957,0.0516946679887495,0.011587851293883539,284.6902847751236,284.73067534489644,0.04039056977285327,180.04503532475607,136.1230863033388,93.37793612396271,119.4794275926256,32.40453238958193,17.200605728057397,1.612857142857143
1209197197,0.2954,0.009634920105719383,0.002389112801706536,0.025526928945280632,0.008500514389637457,160.64137606595162,337.1157786027464,176.47440253679477,261.4051004116348,233.97139491099082,99.7242258757099,126.33614331347312,14.472790907850193,18.284147684040352,2.2885714285714287
1501101303,0.3109,,,0.04064175573481652,0.010089024674525587,,212.2978846500139,,,87.26533738377891,,122.33126012841298,,17.104437437345783,1.2571428571428571
1501176107,0.3086,,,0.04645840053597073,0.011513180358239868,,170.50562953089212,,,138.5199618717781,,233.35566651232594,,23.46124835489214,1.9357142857142857
1501178229,0.3062,0.15156698321181172,0.0630806846806256,,,75.27554828387468,0.0,75.27554828387468,61.45866002820961,21.360732507428118,45.20912765732544,35.25519879221059,22.516124176493832,5.654456831364259,1.3200000000000003
1501196198,0.3092,,,0.06000443017454318,0.021624675050069472,,53.147797219315095,,,43.975263100011425,,247.7909144663135,,17.76783749552657,3.298571428571429
1501224275,0.311,0.1461982273385798,0.03063123908997387,0.02834584511016219,0.008537048774378315,352.93570908879803,194.48346309586665,158.45224599293138,138.96772682586857,69.36678149615206,164.4662278766863,165.613540210858,25.560473696448966,22.33449829683215,1.3528571428571428
1501329201,0.2723,0.056068133757568785,0.014754009694657287,,,73.71461270705268,,,61.37802563778259,,42.5093015901734,,15.967758956371433,,1.2585714285714285
1501339278,0.3096,,,0.03686179450863034,0.0099743392073841,,254.09823798911157,,,208.59192165304623,,197.19445486207988,,18.28346277600346,1.2085714285714286
1502071104,0.371,0.06255854477141169,0.015234338671157222,,,195.3748756916256,0.0,195.3748756916256,72.36628712473502,31.86846454423713,68.40203334659701,73.35958097119594,43.0001004089373,8.472842473929656,1.1642857142857141
1502197197,0.2961,,,0.034688690816669594,0.009580556471499283,,321.98863571225564,,,194.33492028567332,,255.45886110909936,,27.42479942759317,1.9585714285714286
1502225063,0.3706,0.06960110393890315,0.014892133827876427,,,120.7476086463964,0.0,120.7476086463964,114.97816428904375,87.35447887544964,88.96956814187816,113.73574950350066,11.655464769235596,7.904006395548245,1.6471428571428572
1502277280,0.2953,,,0.04613879215982303,0.01749031306970344,,96.92778738394354,,,96.7979412934968,,163.84366699975453,,22.598165121048407,1.1342857142857146
1503197197,0.2875,,,0.04790423644811012,0.014504386989272483,,273.0388425324591,,,71.08396543508279,,195.82805973402242,,18.73568434473463,1.4985714285714284
1503208231,0.2887,0.051099858321420666,0.0037754684305410465,0.057412319390579974,0.015455850917815728,346.3659870010978,340.74611276801824,5.619874233079543,151.93085532515622,137.379413535568,80.54286285031985,85.88536419488335,46.14282309034307,14.041933745537431,1.792857142857143
1503316290,0.3832,0.025984329275225024,0.009294803289121615,,,43.3903152078303,18.0,25.390315207830298,93.5132499059109,25.03709143628653,35.37298939180598,7.850427804666354,17.91966355946365,3.343398693276245,1.042857142857143
1505197196,0.3169,,,0.032862835156838806,0.010233739262450964,,305.8881457702656,,,129.708809623827,,217.46658011706006,,26.40818026542803,1.3357142857142859
1505245192,0.3186,,,0.12739227924102234,0.03550899808591763,,0.0,,,46.450037423093285,,86.38732293845787,,7.993609242697704,1.1585714285714286
1506106169,0.2945,0.02569312129982428,0.0037514577348446107,0.0618603088073868,0.02318200982064571,33.965638614108734,204.05945645351355,170.0938178394048,132.83687751488665,93.5005967693976,83.22331319249908,90.63891703397911,35.68669766151688,12.89993551967885,1.3528571428571428
1506211197,0.2963,,,0.022795479478515214,0.007863980132265198,,252.12773359576858,,,293.5612912951244,,194.84047013948162,,21.876643591414297,1.4142857142857144
1506279269,0.2966,0.02944322505709502,0.00528441750374538,0.07452710028939935,0.022533316613310043,71.3595007875715,71.98216515699046,0.6226643694189562,202.59546045934272,153.11407351831542,77.30453376055083,98.87796669149373,49.28371494790609,10.056792751208807,2.3142857142857145
1507084083,0.2581,0.06124997038111575,0.0037680981496553655,,,300.6286068801714,36.0,264.6286068801714,17.40137886923636,13.843970910488258,58.76910420623466,60.40969327466607,139.2142990843738,21.976682057953667,1.5228571428571431
1507150106,0.3165,0.05179652847401051,0.013987659044599256,,,141.20531205882233,18.0,123.20531205882233,73.07814973600809,34.33629878834306,71.85912181210763,68.62553374568388,37.20198211512594,7.726105526230118,1.1414285714285717
1507190180,0.2577,0.0513777124275468,0.013117552774911504,,,22.92989673839615,0.0,22.92989673839615,109.8859301462556,8.291326870499766,51.11406784019391,12.822036378781867,29.927530888246963,5.349787860390573,1.3757142857142857
1507196198,0.3143,,,0.036576891656307974,0.012213495184442464,,147.02783012219905,,,88.00622118549835,,211.6172033663605,,28.821307481920968,1.552857142857143
1508217276,0.3007,0.022848988962920244,0.004387879519508853,0.12528346715584104,0.031116884291045782,347.16783654237776,0.0,347.16783654237776,53.4662439246914,46.65459408521451,53.68674491261345,67.58522008590062,72.5605950741924,8.79439418213592,1.2828571428571431
1509122131,0.2841,,,0.04079756440519193,0.010450243527981093,,139.81468615986685,,,144.88858751638097,,127.22015940445925,,20.983255993356284,1.125714285714286
1509152248,0.3882,0.03566171428430132,0.00941943764105713,,,264.99842468742077,,,101.79737416248719,,49.56141380857307,,16.00820359504216,,1.2385714285714287
1509199156,0.2828,,,0.054447876789107515,0.019816829415481702,,310.6326641788213,,,100.45724947683911,,291.0090686029251,,25.954141218840892,4.475714285714286
1509231092,0.2806,,,0.033578259510988986,0.008903581331671639,,198.64790926252465,,,116.81851230274275,,140.33021237760246,,27.531525515885008,1.1800000000000002
1509247119,0.2871,,,0.06258055251713879,0.026378916604298946,,287.3651940464729,,,54.334734216610265,,139.48206378542633,,17.947968501272403,1.122857142857143
1509291230,0.2986,0.05442184224712244,0.0022836669027513786,,,210.23612848111637,0.0,210.23612848111637,65.22745169218692,40.27322432516512,64.61353666656056,48.89123021006658,126.95558233468833,11.982085095517307,1.1242857142857143
1511160258,0.2949,0.017687759045781223,0.00502294692760818,0.13550921001208757,0.05423322690337993,91.50455996242587,262.3735162652518,170.86895630282592,133.65688004753207,94.31690390794968,50.52585482318239,45.58754756940325,22.024229865520656,5.654457926363731,1.8514285714285714
1511283231,0.2943,0.025282257495751765,0.0028401791954608194,0.03713037414760436,0.010656149643469552,149.03113064516947,156.45283138733083,7.421700742161363,145.1490898172416,116.32964772556979,101.69722161442209,102.32463054970921,35.76383804946978,20.32149261834927,1.675714285714286
1512104268,0.3197,,,0.056976217602597856,0.01513631773168132,,75.75140284922738,,,22.07637363922715,,126.9715872487961,,17.997635060106877,1.3457142857142856
1512115127,0.3216,0.03459369070744964,0.0077490039713984105,,,300.56540240182704,0.0,300.56540240182704,90.99622294179171,39.52265413819677,44.88473109939639,44.13741042399201,19.880209586196575,4.316512914379782,1.2500000000000002
1512197195,0.3206,,,0.04257790214669826,0.009642809067739707,,18.0,,,93.7092394376275,,205.2668217422331,,25.937466760513207,1.4942857142857144
1522197197,0.2928,,,0.02681474349781099,0.005433870565561821,,162.54040802733155,,,138.65619355673587,,178.23797633668354,,37.20698661726435,1.0242857142857142
1523135170,0.3199,0.039230934942532186,0.0063023764787540305,,,85.81671705183292,144.0,58.183282948167076,60.3157816107951,58.88367938929962,49.48135223213081,31.590040853495843,61.669805917488404,7.2608033734603605,1.4828571428571429
